availability,in_stock,number_of_reviews,price,price_excl_tax,price_incl_tax,product_description,product_type,tax,title,upc,url
,,,,1 999 ₽,RUB 999 ₽,"Очки «Фокус Плюс» — современная  альтернатива лупе, которую нужно было держать в руках. Теперь ваши руки свободны!  Читайте мелкий шрифт, занимайтесь рукоделием и не бойтесь поломок из-за  случайного падения очков.  1. Визуально увеличивают предметы  в 1,6 раза 2. Оставляют руки свободными 3. Подходят мужчинам и женщинам 4. Небьющиеся линзы 5. Складная конструкция 6. Футляр для хранения в  комплекте   Материал: пластик Материал линз: пластик Расстояние между дужками: 13,5 см Диоптрии: +2,5 Размер дужки — 13см Размер линзы 4,8 x 2,8 см Расстояние между центрами линз: 7,5 см Напыление на линзах: нет Страна-производитель: Китай Применение очков противопоказано при наличии паталогий сетчатки, роговицы, изменениях рефрекации глаза, при паталогиях зрительного нерва и других глазных заболеваниях. Перед применением необходимо проконсультироваться с врачом",,,"Складные увеличительные очки ""Фокус Плюс""",,https://www.leomax.ru/goods/skladnye_uvelichitelnye_ochki_fokus_plyus_group-id_1710542/
,,,,1 999 ₽,RUB 999 ₽,"Вам надоели непрошеные гости в вашем доме? Знакомьтесь, простой и современный способ избавиться от вредителей ― отпугиватель насекомых и грызунов «Защитник». Он производит электромагнитные импульсы и ультразвук, воздействуя на нервную систему насекомых и грызунов. При этом абсолютно безопасен для человека и домашних животных.      Пользоваться отпугивателем необыкновенно легко ― воткните штекер в розетку, и прибор начнёт действовать. «Защитник» станет отличным решением как для дома или дачи, так и для склада, магазина или производственных помещений ― эффективен на площади до 200 квадратных метров.      Не нужно усложнять себе жизнь, ведь теперь есть более лёгкий способ решить проблемы с непрошенными гостями!                    1.    Эффективен в борьбе с любыми видами насекомых и грызунов.      2.    Компактен, прост в использовании.      3.    Работает от электросети, при этом не влияет на работу радиоприемников, телевизоров и прочего оборудования.      4.    Не требует замены батарейки и картриджей.      5.    Экономичное энергопотребление.                    Материал: пластик      Площадь эффективного влияния: до 200 м² (работает в пределах одного помещения. Сквозь стены и перекрытия ультразвук не проходит)    Потребляемая мощность: 3 Вт      Страна-производитель: Китай",,,"Отпугиватель насекомых и грызунов ""Защитник""",,https://www.leomax.ru/goods/otpugivatel_nasekomykh_i_gryzunov_zashchitnik_group-id_2211837/
,,,,1 499 ₽,RUB 999 ₽,"Чудо-эмульсия «Антикор» — разработка российских ученых. Секрет уникальности средства в формуле, которая устраняет саму коррозию и не дает появиться новой.       Эмульсия растворяет ржавчину, а при высыхании образует защитную пленку, которая изолирует металл от внешней среды, не пропускает влагу, соль и другие реагенты.                           1. Удаляет ржавчину       2. Предотвращает появление новой       3. Грунтует и готовит поверхность к покраске       4. Реставрирует металл       5. Продлевает срок службы ваших вещей (эффект антикоррозийной защиты сохраняется 2 года)                           Удалить рыхлую и отслаивающуюся ржавчину металлической щеткой. Состав распылить или нанести щеткой при температуре окружающей среды не ниже +10°С на сухую обезжиренную поверхность в два слоя. Окрашивать поверхность можно после полного высыхания чудо-эмульсии, но не позднее, чем через 48 ч после обработки.                                                   Состав: вода, ортофосфорная кислота 15-30%, функциональные добавки ≤ 5%       Комплектация: 3 шт. х 500 мл       Срок годности: 3 года       Сделано в России",,,"Чудо-эмульсия ""Антикор"" 5в1",,https://www.leomax.ru/goods/kkomplekt_chudo_emulsiy_antikor_5v1_3_sht_group-id_1901051/
,,,,4 999 ₽,RUB 2 999 ₽,,,,"Складная стиральная машинка ""Мини Автомат""",,https://www.leomax.ru/goods/skladnaya_stiralnaya_mashinka_mini_avtomat_group-id_2210423/
,,,,4 999 ₽,RUB 2 999 ₽,"Целая гора постельного  белья? И в маленькой квартире ее совсем негде сушить? Расслабьтесь. Вам больше  не нужно занимать драгоценное место радиаторами и бельевыми веревками. Вас  выручит сушилка «Так удобно». Она позволяет высушить  приблизительно 2-3 загрузки стандартной стиральной машины. Три яруса плюс две  дополнительные планки для плечиков позволяют сушить как постельное белье, так и  деликатные изделия. Например, рубашки и блузки. Устройство представляет  собой вертикальную складную конструкцию. Очень устойчивая и прочная. Ее удобно  хранить, а также легко перемещать благодаря четырем колесам. Приятная  бело-синяя расцветка делает сушилку универсальной для любого интерьера.   1. Компактный размер 2. Складная конструкция   3. Можно одновременно  разместить 2-3 загрузки стандартной стиральной машины 4. Устойчивая и прочная 5. 4 колеса для  удобства перемещения 6. Специальные планки для  размещения вешалок-плечиков до 7 штук с каждой стороны   Сушилка в разобранном  виде Комплектующие для  сборки Инструкция   Материал: нержавеющая сталь (каркас, перекладины), пластик Размер упаковки: 77 x  50 x 23,5 см Сушилка в собранном  виде, но с опущенными вниз ярусами имеет высоту: 173,5 см, длину: 70 см,  ширину: 23 см. Ширина в рабочем состоянии: 66 см Страна-производитель:  Китай",,,Складная сушилка для белья,,https://www.leomax.ru/goods/skladnaya_sushilka_dlya_bbelya_group-id_1902440/
,,,,1 999 ₽,RUB 999 ₽,"Суперпрочная  водонепроницаемая лента, которая позволяет моментально заделать любую течь! Она  имеет тройную толщину и обработана сверхсильным клеем, который позволяет ей  моментально приклеиваться к любой поверхности и образовывать герметичное  соединение. Холод и  жара также не страшны данной ленте, поэтому ее можно использовать практически  где угодно: на улице или в доме, для бытовых или профессиональных целей.   1.  Водонепроницаемая (может использоваться под водой) 2.  Выдерживает вес до 10 кг 3.  Работает практически на любых ровных поверхностях (пластик, металл, дерево,  плитка, камень, керамика, кирпич, бетон, стекло, брезент, ПВХ и др.)   Материал:  клей, поливинилхлорид Размер:  20 х 150 см (прозрачная — 10 х 100 см) Комплектация:  изолирующая лента «Супер Фикс» + подарок (прозрачная лента) Страна-производитель:  Китай",,,"Изолирующая лента ""Супер Фикс""",,https://www.leomax.ru/goods/izolirujushchaja_lenta_flex_tape_fleks_teyp_group-id_1710592/
,,,,3 999 ₽,RUB 2 999 ₽,"Как правило, большинство шлангов весьма неудобны из-за своего веса и громоздкости. Не удивительно, что мытье машины или полив сада становится настоящим кошмаром. Все будет гораздо проще с чудо-шлангом «Ультра» от LEOMAX. Шланг создан по уникальной технологии: при подаче воды он увеличивается в размере в три раза, при этом остается по-прежнему легким и удобным.                       1. Чудо-шланг «Ультра» — это новая улучшенная версия шланга со сроком службы, увеличенным в 3 раза по сравнению с обычным чудо-шлангом      2. Технология 3D-нано: прочное и гибкое внутреннее покрытие позволяет чудо-шлангу «Ультра» сжиматься и разжиматься сотни раз      3. Новое износостойкое внешнее покрытие сделало его более устойчивым к внешним воздействиям и загрязнениям      4. При необходимости несколько чудо-шлангов можно соединить между собой      5. Распылитель с 7 режимами работы                          Материал корпуса: пластик, нейлон, термопластичные эластомеры (внутренняя трубка)      Длина: 15/22,5/30 м в растянутом состоянии      Длина в нерастянутом состоянии: 5/7,5/10 м    Размер внутренней трубки: 6 x 9,5 мм Внутренний диаметр трубки: ~ 20 мм Внешний диаметр трубки: ~ 25-27 мм Цвет внутренней трубки: белый, полупрозрачный Рекомендуемое рабочее давление: 6 бар Диаметр соединения (фитингов): 3/4""    Страна-производитель: Китай      Цвет корпуса: красный      Гарантийный срок: 1 год",,,Чудо-шланг Ультра от LEOMAX,,https://www.leomax.ru/goods/chudo_shlang_ultra_ot_leomax_group-id_1608761/
,,,,6 999 ₽,RUB 6 499 ₽,,,,"Гибкие настенные панели 3D ""Премиум"", 20 шт.",,https://www.leomax.ru/goods/nastennye_paneli_3d_premium_group-id_2112424/
,,,,6 999 ₽,RUB 6 499 ₽,,,,"Гибкие настенные панели 3D ""Премиум"", 20 шт.",,https://www.leomax.ru/goods/nastennye_paneli_3d_premium_group-id_2112414/
,,,,6 999 ₽,RUB 6 499 ₽,,,,"Гибкие настенные панели 3D ""Премиум"", 20 шт.",,https://www.leomax.ru/goods/nastennye_paneli_3d_premium_group-id_2112396/
